Data,Aperto,Alto,Basso,Chiusura*,Chiusura aggiustata**,Volume
14 set 2023,"2,7150","2,8230","2,6970","2,7080","2,7080",154.082
13 set 2023,"2,7470","2,7770","2,6400","2,6800","2,6800",191.712
12 set 2023,"2,6200","2,7820","2,6040","2,7430","2,7430",202.189
11 set 2023,"2,6100","2,6390","2,5410","2,6080","2,6080",110.879
08 set 2023,"2,5790","2,6590","2,5720","2,6050","2,6050",101.228
07 set 2023,"2,5160","2,6140","2,5000","2,5790","2,5790",140.334
06 set 2023,"2,5840","2,6140","2,5030","2,5100","2,5100",116.663
05 set 2023,"2,7000","2,7080","2,5660","2,5820","2,5820",178.329
01 set 2023,"2,7650","2,8600","2,7350","2,7650","2,7650",127.248
31 ago 2023,"2,8030","2,8650","2,7080","2,7680","2,7680",176.016
30 ago 2023,"2,6800","2,8130","2,6470","2,7960","2,7960",146.876
29 ago 2023,"2,5790","2,5990","2,5150","2,5560","2,5560",145.380
28 ago 2023,"2,6350","2,6950","2,5440","2,5790","2,5790",58.220
25 ago 2023,"2,5170","2,5550","2,4680","2,5400","2,5400",31.329
24 ago 2023,"2,4840","2,5650","2,4250","2,5190","2,5190",76.080
23 ago 2023,"2,5600","2,5900","2,4730","2,4970","2,4970",93.844
22 ago 2023,"2,6180","2,6360","2,5400","2,5600","2,5600",111.965
21 ago 2023,"2,5600","2,6600","2,5550","2,6320","2,6320",102.634
18 ago 2023,"2,6230","2,6360","2,5240","2,5510","2,5510",128.027
17 ago 2023,"2,6050","2,6700","2,5750","2,6210","2,6210",119.544
16 ago 2023,"2,6640","2,6740","2,5680","2,5920","2,5920",142.515
15 ago 2023,"2,8100","2,8630","2,6470","2,6590","2,6590",158.887
14 ago 2023,"2,7760","2,8270","2,7490","2,7950","2,7950",93.502
11 ago 2023,"2,7800","2,8330","2,7010","2,7700","2,7700",163.958
10 ago 2023,"2,9740","2,9980","2,7470","2,7630","2,7630",230.514
09 ago 2023,"2,7970","3,0180","2,7710","2,9590","2,9590",312.252
08 ago 2023,"2,7350","2,8010","2,6920","2,7770","2,7770",186.795
07 ago 2023,"2,5790","2,7540","2,5710","2,7250","2,7250",228.905
04 ago 2023,"2,5560","2,6190","2,5290","2,5770","2,5770",104.012
03 ago 2023,"2,4840","2,5860","2,4740","2,5650","2,5650",139.151
02 ago 2023,"2,5780","2,5810","2,4570","2,4770","2,4770",147.612
01 ago 2023,"2,6440","2,6750","2,5310","2,5600","2,5600",135.522
31 lug 2023,"2,6590","2,6930","2,6050","2,6340","2,6340",97.877
28 lug 2023,"2,6020","2,6850","2,5640","2,6380","2,6380",136.505
27 lug 2023,"2,6270","2,6500","2,4630","2,4920","2,4920",166.760
26 lug 2023,"2,7200","2,7390","2,6250","2,6650","2,6650",37.310
25 lug 2023,"2,7030","2,7540","2,6560","2,7300","2,7300",35.545
24 lug 2023,"2,7210","2,7670","2,6640","2,6850","2,6850",54.167
21 lug 2023,"2,7440","2,7860","2,6870","2,7130","2,7130",94.148
20 lug 2023,"2,6290","2,7890","2,6170","2,7570","2,7570",165.848
19 lug 2023,"2,6200","2,6570","2,5840","2,6030","2,6030",102.069
18 lug 2023,"2,5370","2,6470","2,5290","2,6290","2,6290",134.874
17 lug 2023,"2,5480","2,5800","2,4840","2,5120","2,5120",110.913
14 lug 2023,"2,5580","2,6060","2,4920","2,5390","2,5390",134.591
13 lug 2023,"2,6590","2,6660","2,5390","2,5450","2,5450",148.019
12 lug 2023,"2,7390","2,7500","2,6180","2,6320","2,6320",149.633
11 lug 2023,"2,6670","2,7480","2,6300","2,7310","2,7310",130.580
10 lug 2023,"2,5700","2,6920","2,5700","2,6690","2,6690",124.495
07 lug 2023,"2,6350","2,6750","2,5360","2,5820","2,5820",103.593
06 lug 2023,"2,6520","2,6870","2,5860","2,6090","2,6090",109.301
05 lug 2023,"2,6990","2,7930","2,6480","2,6570","2,6570",124.912
03 lug 2023,"2,7290","2,7460","2,6700","2,7090","2,7090",79.618
30 giu 2023,"2,6770","2,8280","2,6340","2,7980","2,7980",147.265
29 giu 2023,"2,6620","2,7460","2,6160","2,7010","2,7010",118.610
28 giu 2023,"2,7880","2,8390","2,5930","2,6030","2,6030",137.907
27 giu 2023,"2,7770","2,8090","2,7240","2,7630","2,7630",71.154
26 giu 2023,"2,7580","2,8160","2,7200","2,7910","2,7910",31.600
23 giu 2023,"2,6120","2,7400","2,5200","2,7290","2,7290",84.433
22 giu 2023,"2,5900","2,6320","2,5290","2,6080","2,6080",109.156
21 giu 2023,"2,4870","2,6020","2,4480","2,5970","2,5970",125.413
20 giu 2023,"2,6290","2,6960","2,4840","2,4920","2,4920",198.217
16 giu 2023,"2,5520","2,6530","2,5220","2,6320","2,6320",194.535
15 giu 2023,"2,3460","2,5680","2,3150","2,5330","2,5330",260.280
14 giu 2023,"2,3320","2,3900","2,2940","2,3420","2,3420",141.175
13 giu 2023,"2,2840","2,3700","2,2750","2,3400","2,3400",179.755
12 giu 2023,"2,3040","2,3240","2,2060","2,2660","2,2660",174.479
09 giu 2023,"2,3200","2,3380","2,2500","2,2540","2,2540",169.479
08 giu 2023,"2,3340","2,3800","2,2770","2,3520","2,3520",217.008
07 giu 2023,"2,2640","2,3460","2,2500","2,3290","2,3290",182.391
06 giu 2023,"2,2720","2,2910","2,1730","2,2620","2,2620",147.732
05 giu 2023,"2,2140","2,3170","2,1840","2,2450","2,2450",149.918
02 giu 2023,"2,1630","2,2330","2,1380","2,1720","2,1720",155.169
01 giu 2023,"2,2550","2,2830","2,1360","2,1580","2,1580",210.624
31 mag 2023,"2,3200","2,4100","2,2470","2,2660","2,2660",151.831
30 mag 2023,"2,4170","2,4480","2,2570","2,3270","2,3270",183.534
26 mag 2023,"2,2920","2,2980","2,1430","2,1810","2,1810",140.560
25 mag 2023,"2,4130","2,4410","2,2580","2,3070","2,3070",48.663
24 mag 2023,"2,3470","2,4150","2,3170","2,3980","2,3980",33.040
23 mag 2023,"2,4000","2,4070","2,3180","2,3210","2,3210",58.742
22 mag 2023,"2,5680","2,5690","2,3670","2,4000","2,4000",114.478
19 mag 2023,"2,6150","2,6850","2,5570","2,5850","2,5850",162.128
18 mag 2023,"2,3800","2,6340","2,3520","2,5920","2,5920",186.293
17 mag 2023,"2,3620","2,4350","2,3220","2,3650","2,3650",139.262
16 mag 2023,"2,3730","2,4700","2,3410","2,3760","2,3760",135.427
15 mag 2023,"2,2650","2,3840","2,2500","2,3750","2,3750",142.753
12 mag 2023,"2,1910","2,3350","2,1470","2,2660","2,2660",159.351
11 mag 2023,"2,1820","2,2550","2,1650","2,1900","2,1900",119.033
10 mag 2023,"2,2620","2,2650","2,1600","2,1910","2,1910",126.485
09 mag 2023,"2,2490","2,2970","2,1840","2,2670","2,2670",134.534
08 mag 2023,"2,1480","2,2550","2,1400","2,2380","2,2380",125.345
05 mag 2023,"2,0860","2,1670","2,0310","2,1370","2,1370",120.689
04 mag 2023,"2,1570","2,1890","2,0810","2,1010","2,1010",113.278
03 mag 2023,"2,2240","2,2410","2,1030","2,1700","2,1700",130.327
02 mag 2023,"2,3140","2,3450","2,1860","2,2140","2,2140",127.225
01 mag 2023,"2,3980","2,4100","2,2900","2,3180","2,3180",108.993
28 apr 2023,"2,3580","2,5290","2,2850","2,4100","2,4100",176.420
27 apr 2023,"2,3140","2,3760","2,2680","2,3550","2,3550",105.218
26 apr 2023,"2,2390","2,2740","2,1010","2,1170","2,1170",149.625
25 apr 2023,"2,2620","2,3120","2,1700","2,3070","2,3070",66.131
24 apr 2023,"2,2200","2,2860","2,1810","2,2730","2,2730",56.324
21 apr 2023,"2,1920","2,2740","2,1640","2,2330","2,2330",82.961
20 apr 2023,"2,1790","2,2710","2,1400","2,2490","2,2490",115.594
19 apr 2023,"2,3730","2,3830","2,1770","2,2220","2,2220",147.565
18 apr 2023,"2,2900","2,3850","2,2290","2,3660","2,3660",120.611
17 apr 2023,"2,1500","2,3140","2,1460","2,2750","2,2750",191.441
14 apr 2023,"2,0150","2,1320","1,9460","2,1140","2,1140",226.788
13 apr 2023,"2,0840","2,1300","1,9950","2,0070","2,0070",224.382
12 apr 2023,"2,2210","2,2290","2,0690","2,0930","2,0930",247.319
11 apr 2023,"2,1820","2,2470","2,1260","2,1860","2,1860",220.673
10 apr 2023,"2,0190","2,2230","2,0110","2,1720","2,1720",256.800
06 apr 2023,"2,1410","2,1810","1,9920","2,0110","2,0110",-
05 apr 2023,"2,0960","2,1970","2,0650","2,1550","2,1550",147.112
04 apr 2023,"2,1140","2,1660","2,0760","2,1060","2,1060",149.115
03 apr 2023,"2,0850","2,1600","2,0150","2,0970","2,0970",173.583
31 mar 2023,"2,1070","2,2410","2,0740","2,2160","2,2160",164.651
30 mar 2023,"2,1830","2,1900","2,0800","2,1040","2,1040",153.725
29 mar 2023,"2,0240","2,0830","1,9440","1,9910","1,9910",155.175
28 mar 2023,"2,0890","2,1220","1,9980","2,0300","2,0300",62.598
27 mar 2023,"2,1300","2,1430","2,0590","2,0880","2,0880",39.811
24 mar 2023,"2,1530","2,2380","2,1410","2,2160","2,2160",55.636
23 mar 2023,"2,2150","2,2610","2,1360","2,1540","2,1540",87.692
22 mar 2023,"2,3220","2,3260","2,1520","2,1710","2,1710",121.562
21 mar 2023,"2,2460","2,3580","2,1270","2,3480","2,3480",138.551
20 mar 2023,"2,3470","2,4270","2,2110","2,2230","2,2230",110.519
17 mar 2023,"2,5270","2,5340","2,3270","2,3380","2,3380",118.455
16 mar 2023,"2,4830","2,5540","2,4290","2,5140","2,5140",114.147
15 mar 2023,"2,5770","2,5950","2,3840","2,4390","2,4390",132.196
14 mar 2023,"2,6240","2,6740","2,5300","2,5730","2,5730",93.916
13 mar 2023,"2,4260","2,6330","2,3910","2,6060","2,6060",146.573
10 mar 2023,"2,4940","2,5620","2,4250","2,4300","2,4300",127.165
09 mar 2023,"2,5900","2,6440","2,4650","2,5430","2,5430",138.147
08 mar 2023,"2,6620","2,6940","2,5190","2,5510","2,5510",132.610
07 mar 2023,"2,6030","2,6980","2,5060","2,6870","2,6870",149.484
06 mar 2023,"2,8300","2,8300","2,5320","2,5720","2,5720",246.373
03 mar 2023,"2,7890","3,0270","2,7720","3,0090","3,0090",185.066
02 mar 2023,"2,8110","2,8630","2,7100","2,7650","2,7650",134.243
01 mar 2023,"2,7690","2,8390","2,6640","2,8110","2,8110",157.116
28 feb 2023,"2,7230","2,7880","2,5680","2,7470","2,7470",160.843
27 feb 2023,"2,6500","2,7400","2,5540","2,7310","2,7310",238.896
24 feb 2023,"2,3450","2,5770","2,3070","2,4510","2,4510",168.130
23 feb 2023,"2,1610","2,3770","2,0950","2,3140","2,3140",57.085
22 feb 2023,"2,0660","2,3020","1,9670","2,1740","2,1740",57.853
21 feb 2023,"2,2250","2,2950","2,0570","2,0730","2,0730",108.507
17 feb 2023,"2,3910","2,4200","2,2200","2,2750","2,2750",133.999
16 feb 2023,"2,4640","2,5590","2,3580","2,3890","2,3890",141.459
15 feb 2023,"2,6030","2,6070","2,4460","2,4710","2,4710",147.505
14 feb 2023,"2,4270","2,6230","2,4150","2,5670","2,5670",169.804
13 feb 2023,"2,5800","2,6100","2,3760","2,4050","2,4050",251.399
10 feb 2023,"2,4640","2,5890","2,4100","2,5140","2,5140",230.687
09 feb 2023,"2,4110","2,5290","2,3500","2,4300","2,4300",227.981
08 feb 2023,"2,5990","2,6570","2,3670","2,3960","2,3960",204.605
07 feb 2023,"2,4990","2,6150","2,4230","2,5840","2,5840",228.475
06 feb 2023,"2,4220","2,5000","2,3650","2,4570","2,4570",138.819
03 feb 2023,"2,4570","2,5150","2,3410","2,4100","2,4100",145.394
02 feb 2023,"2,5040","2,5970","2,4310","2,4560","2,4560",160.777
01 feb 2023,"2,7300","2,7800","2,4630","2,4680","2,4680",210.664
31 gen 2023,"2,6850","2,7530","2,6140","2,6840","2,6840",145.544
30 gen 2023,"2,7200","2,7730","2,6120","2,6770","2,6770",167.291
27 gen 2023,"2,8760","3,1760","2,8320","3,1090","3,1090",128.689
26 gen 2023,"3,0030","3,0030","2,7610","2,9440","2,9440",47.669
25 gen 2023,"3,2420","3,2510","2,9920","3,0670","3,0670",40.750
24 gen 2023,"3,4500","3,5950","3,2240","3,2580","3,2580",62.585
23 gen 2023,"3,4500","3,5640","3,2430","3,4470","3,4470",130.377
20 gen 2023,"3,2030","3,3890","3,0910","3,1740","3,1740",106.735
